날짜,최고기온(℃),서울_1층_평균온도,서울_2층_평균온도,서울_3층_평균온도,서울_6층_평균온도,서울_7층_평균온도,서울_별관_평균온도
2026-06-01,28.7,24.4,25.6,26.3,25.2,25.5,26.6
2026-06-02,31.8,23.9,25.5,27.8,25.0,25.6,25.9
2026-06-03,30.8,24.7,28.3,30.0,30.3,31.2,27.3
2026-06-04,28.4,24.4,28.9,23.0,25.4,26.0,27.6
2026-06-05,25.2,24.9,27.3,27.2,24.4,26.1,27.2
2026-06-06,27.5,23.5,28.0,27.6,28.7,29.4,26.9
2026-06-07,24.9,24.4,27.4,26.4,28.2,29.1,26.9
2026-06-08,26.4,23.4,27.1,23.5,24.8,25.2,26.7
2026-06-09,27.7,25.0,27.2,26.4,24.6,25.1,26.6
2026-06-10,26.9,23.6,27.4,23.9,24.6,25.9,26.8
2026-06-11,26.7,24.6,27.2,24.4,24.1,25.9,26.8
2026-06-12,27.7,23.4,27.3,25.8,24.4,26.1,26.8
2026-06-13,31.9,25.0,27.8,29.3,29.0,29.6,26.7
2026-06-14,31.3,24.5,28.2,29.0,29.8,30.5,27.1
2026-06-15,32.6,24.8,28.5,27.1,25.1,27.5,27.2
2026-06-16,33.2,24.9,28.4,26.2,24.4,25.1,27.4
2026-06-17,32.8,24.5,29.1,27.4,25.1,25.3,27.6
2026-06-18,32.3,25.0,29.7,31.3,25.8,26.3,27.7
2026-06-19,34.0,25.0,30.2,29.5,26.2,25.1,28.0
2026-06-20,23.0,23.9,28.5,29.2,28.1,28.9,27.8
2026-06-21,28.1,23.9,28.1,29.5,28.8,29.3,27.4
2026-06-22,28.3,24.5,28.4,28.0,25.4,25.0,27.3
2026-06-23,30.9,24.1,27.0,30.9,24.9,24.3,25.7
2026-06-24,28.9,24.9,28.5,28.9,25.7,24.7,26.9
2026-06-25,24.0,23.9,27.5,29.3,25.1,25.1,26.8
2026-06-26,30.0,24.5,28.2,29.2,25.1,25.5,26.6
2026-06-27,32.3,24.9,28.7,31.0,29.6,30.8,27.0
2026-06-28,31.3,24.8,29.9,32.6,31.7,33.1,27.2
2026-06-29,32.5,24.5,25.7,31.1,26.5,28.3,27.4
2026-06-30,31.8,24.5,25.6,28.2,25.3,27.9,27.5
