일자,B1층_소회의실_실내_평균온도,1층_로비_실내_평균온도,1층_안내센터_실내_평균온도,2층_로비_실내_평균온도,2층_회의실_실내_평균온도,2층_로비2_실내_평균온도,3층_회의실_실내_평균온도,별관_로비_실내_평균온도,최고기온(℃)
2026-07-01,24.6,23.8,24.6,23.5,23.7,23.9,28.5,26.8,31.5
2026-07-02,25,23.1,24.1,25.8,24.3,25.7,26.2,26.7,27.5
2026-07-03,24.9,23.3,24.1,28.1,27.2,27.8,26.9,26.5,28.5
2026-07-04,24.9,22.9,23.1,28.5,27.8,28.1,28.5,26.7,29.6
2026-07-05,24.9,23.9,24.6,29.3,28.6,28.7,29.3,26.7,28.9
2026-07-06,25.1,24,25,28.7,28.1,28.5,28.6,27.1,27.9
2026-07-07,25.1,24.4,24.9,27,24.6,27.1,28.7,27.3,31.9
2026-07-08,25.5,24,23.7,25.4,25.8,27.4,27,26.9,28.6
2026-07-09,24.3,23.9,23.8,27.3,26.3,27.5,25.2,27,25.9
2026-07-10,25.1,23.9,23.7,24,23.8,26.4,27.3,26.8,27.7
2026-07-11,24.9,24.1,24,29.9,28.8,29.2,30,27,32.6
2026-07-12,25.2,24,24.4,32.4,31.2,31.5,32.3,27.8,35
2026-07-13,25.4,24,25.1,21.9,23.7,22.7,30.3,28,33.5
2026-07-14,25.9,24.3,25.2,21.4,23,25.9,26.1,28.3,31
2026-07-15,25.8,23.5,24.3,22.2,23.5,22.8,26.1,27.5,26.3
2026-07-16,25.7,23.9,24.8,27.9,26.7,26.6,28.9,27.1,30.3
2026-07-17,25.2,24.6,24.3,29.9,29.1,29.4,30.1,27.4,31.7
2026-07-18,25.7,,,28.3,27.6,28.2,28.1,27.3,28.1
2026-07-19,25.3,24,24.5,29.3,28.5,28.9,29.2,27.4,29.2
2026-07-20,25.7,24,24.5,27.6,24.8,27.1,26.3,27.4,25.3
2026-07-21,25.6,23.9,24.3,27.2,26.5,27,26.1,27,25.9
2026-07-22,25,,,27.3,26.7,27,26.6,27,27.7
2026-07-23,25.5,,,27.7,24,26,26.6,26.8,29.3
2026-07-24,23.7,,,22.3,23.1,21.7,25.9,26.9,32.1
2026-07-25,25.6,24.2,25.1,29.2,28.2,28.8,28.7,27.1,31.5
2026-07-26,26.2,24.4,25.5,28.4,29.2,24.4,30,27.4,32.6
2026-07-27,26.3,24.3,25.4,25.6,28.9,26.7,28.7,27.6,31.6
2026-07-28,25.7,25.6,24.2,29.4,27.2,29,28.1,27.6,32.7
2026-07-29,26.4,24.5,26,30.1,28.3,29.5,28.4,27.4,32.6
2026-07-30,26,24.6,25.9,30.3,29.9,29.5,29.8,27.5,32.7
2026-07-31,26.1,24.9,24.7,22.4,23.7,22.3,30.8,25.3,32.2
