일자,7층_본부장실1_실내_평균온도,7층_본부장실2_실내_평균온도,7층_사무실1_실내_평균온도,7층_사무실2_실내_평균온도,7층_사무실3_실내_평균온도,7층_회의실_실내_평균온도,최고기온(℃)
2026-07-01,30.4,26.4,25.7,24.5,23.4,29.5,31.5
2026-07-02,26.9,25.8,24.8,23.5,22.8,29,27.5
2026-07-03,28.1,28.1,25.9,24.4,24,28.9,28.5
2026-07-04,29.8,28.7,29.5,29.2,29.6,30.1,29.6
2026-07-05,31,29.8,30.8,30.5,30.9,30.5,28.9
2026-07-06,28.3,25.9,26.4,23.7,24.5,26.5,27.9
2026-07-07,27.4,26.3,26.5,23.2,25.1,29.7,31.9
2026-07-08,28.7,26.4,26.2,23.1,24.8,28,28.6
2026-07-09,25.9,27.2,25.2,22.5,24.5,28,25.9
2026-07-10,27,27.4,25.3,25.1,24.7,27.8,27.7
2026-07-11,30.8,29.7,30.7,30.6,31,32.9,32.6
2026-07-12,34.2,32.3,34.2,34.2,34.6,36.2,35
2026-07-13,31.6,29.1,25.4,23.7,26.1,30.9,33.5
2026-07-14,26.3,27.2,26.4,23.2,25.4,29.9,31
2026-07-15,24.1,25.5,24.8,22.7,24.4,26.6,26.3
2026-07-16,27.2,26.2,23.9,23.5,25,30.1,30.3
2026-07-17,31.4,29.9,31.2,31.3,31.5,32.7,31.7
2026-07-18,30.2,29.8,30.1,30,30.1,30.2,28.1
2026-07-19,31.4,30.6,31.6,31.6,31.8,32.6,29.2
2026-07-20,27.9,26,25.2,22.8,24.9,28.9,25.3
2026-07-21,25,25,24.5,22.3,23.7,27.2,25.9
2026-07-22,26.2,25.6,24.7,23,23.2,27.3,27.7
2026-07-23,25.4,25.6,25.4,23.6,23.8,28.8,29.3
2026-07-24,28.4,27.2,25.4,23.8,24.2,30,32.1
2026-07-25,31.3,30.3,31.1,31,31.2,32.5,31.5
2026-07-26,33.4,31.9,33.3,33.2,33.3,34.6,32.6
2026-07-27,30.4,27.2,25.9,24.2,25.5,32.5,31.6
2026-07-28,26.8,26.9,24.7,24.5,24.6,32.1,32.7
2026-07-29,31.2,29,25,24.6,25.3,31.6,32.6
2026-07-30,30.8,28.4,25.2,24.3,25.3,31.1,32.7
2026-07-31,31.1,30.3,25.2,24.1,25.6,33,32.2
