일자,서울B1층_평균가동시간,서울1층_평균가동시간,서울2층_평균가동시간,서울3층_평균가동시간,서울6층_평균가동시간,서울7층_평균가동시간,서울별관_평균가동시간
2026-06-01,,5.75,9.88,0.17,7.71,6.75,0.92
2026-06-02,,5.42,10.42,1.33,7.65,7.63,4.92
2026-06-03,,5.0,0.21,0.0,0.01,0.03,0.0
2026-06-04,,5.75,0.13,10.5,9.43,6.87,0.0
2026-06-05,,1.96,2.54,0.0,5.95,2.87,0.0
2026-06-06,,5.79,2.84,0.0,0.0,0.0,0.0
2026-06-07,,0.75,0.71,0.0,0.0,0.0,0.0
2026-06-08,,5.79,4.08,5.0,6.11,5.31,0.0
2026-06-09,,1.71,4.88,1.58,6.1,6.35,0.0
2026-06-10,,5.5,3.92,8.5,6.92,2.98,0.0
2026-06-11,,2.5,4.92,6.17,7.68,4.67,0.0
2026-06-12,,5.79,4.09,2.58,7.15,2.68,0.0
2026-06-13,,1.92,2.29,0.0,0.01,0.07,0.0
2026-06-14,,5.79,1.71,0.0,0.0,0.0,0.0
2026-06-15,,4.71,2.25,2.67,8.03,5.47,0.0
2026-06-16,,5.71,6.08,5.67,7.6,7.03,0.0
2026-06-17,,5.79,0.42,2.5,9.25,5.12,0.0
2026-06-18,,5.79,1.25,0.0,7.08,6.72,0.0
2026-06-19,,5.8,1.13,1.67,5.76,7.8,0.0
2026-06-20,,5.75,2.13,0.0,0.0,0.0,0.0
2026-06-21,,5.75,2.88,0.0,0.0,0.0,0.0
2026-06-22,,5.79,3.75,1.33,7.51,6.93,0.0
2026-06-23,0.0,5.75,4.81,0.0,8.35,5.93,4.92
2026-06-24,0.08,5.75,0.33,1.67,6.6,4.49,0.0
2026-06-25,0.08,5.79,2.61,0.0,6.72,4.67,0.0
2026-06-26,0.33,5.79,0.08,1.42,5.5,6.49,0.0
2026-06-27,0.08,4.79,0.0,0.0,0.01,0.03,0.0
2026-06-28,0.0,5.75,0.0,0.0,0.26,0.0,0.0
2026-06-29,0.0,5.92,8.0,0.5,8.0,6.6,0.0
2026-06-30,0.0,5.79,9.61,2.58,8.75,6.72,0.0
