일자,공용공간_평균가동시간,사무실_평균가동시간
2026-06-01,4.18,7.23
2026-06-02,5.52,7.64
2026-06-03,1.3,0.02
2026-06-04,4.1,8.15
2026-06-05,1.13,4.41
2026-06-06,2.16,0.0
2026-06-07,0.37,0.0
2026-06-08,3.72,5.71
2026-06-09,2.04,6.23
2026-06-10,4.48,4.95
2026-06-11,3.4,6.18
2026-06-12,3.12,4.92
2026-06-13,1.05,0.04
2026-06-14,1.88,0.0
2026-06-15,2.41,6.75
2026-06-16,4.37,7.32
2026-06-17,2.18,7.19
2026-06-18,1.76,6.9
2026-06-19,2.15,6.78
2026-06-20,1.97,0.0
2026-06-21,2.16,0.0
2026-06-22,2.72,7.22
2026-06-23,3.1,7.14
2026-06-24,1.57,5.55
2026-06-25,1.7,5.7
2026-06-26,1.52,6.0
2026-06-27,0.97,0.02
2026-06-28,1.15,0.13
2026-06-29,2.88,7.3
2026-06-30,3.6,7.74
