날짜,사무실_가동시간,교육실_가동시간,공용공간_가동시간
2026-05-01,3.68,2.43,0.74
2026-05-02,0.07,0.29,0.23
2026-05-03,0.28,0.47,0.27
2026-05-04,3.18,1.4,0.78
2026-05-05,0.02,0.14,0.17
2026-05-06,3.57,1.13,1.08
2026-05-07,3.09,1.35,1.47
2026-05-08,2.79,1.44,1.42
2026-05-09,0.0,0.43,0.28
2026-05-10,0.09,0.24,0.06
2026-05-11,3.81,1.93,0.57
2026-05-12,2.25,2.53,1.14
2026-05-13,3.46,2.2,1.88
2026-05-14,3.01,2.71,1.75
2026-05-15,3.05,2.29,1.21
2026-05-16,0.7,0.31,0.32
2026-05-17,0.62,0.27,0.09
2026-05-18,2.24,2.15,1.57
2026-05-19,2.85,2.13,0.88
2026-05-20,1.87,1.51,0.88
2026-05-21,2.4,1.97,0.69
2026-05-22,2.21,2.25,1.49
2026-05-23,0.05,0.23,0.2
2026-05-24,0.35,0.12,0.15
2026-05-25,3.69,2.05,1.47
2026-05-26,3.58,2.38,1.03
2026-05-27,1.71,1.63,1.55
2026-05-28,3.58,2.72,1.09
2026-05-29,3.34,1.98,1.34
2026-05-30,0.19,0.13,0.16
2026-05-31,0.02,0.19,0.24
