날짜,사무실_가동시간,교육실_가동시간,공용공간_가동시간
2026-05-01,1.97,2.7,0.89
2026-05-02,0.2,0.48,0.14
2026-05-03,0.82,0.42,0.12
2026-05-04,1.92,2.9,0.74
2026-05-05,0.67,0.29,0.32
2026-05-06,3.56,2.29,1.39
2026-05-07,3.8,1.19,0.95
2026-05-08,3.56,1.61,1.53
2026-05-09,0.44,0.32,0.18
2026-05-10,0.69,0.2,0.3
2026-05-11,2.55,1.5,0.79
2026-05-12,2.36,1.24,1.46
2026-05-13,3.73,1.37,0.95
2026-05-14,3.06,2.45,2.16
2026-05-15,3.16,1.57,0.76
2026-05-16,0.18,0.14,0.08
2026-05-17,0.01,0.32,0.12
2026-05-18,4.24,2.11,1.72
2026-05-19,2.2,2.74,1.39
2026-05-20,3.99,2.15,1.35
2026-05-21,2.96,1.37,0.68
2026-05-22,4.16,1.96,1.92
2026-05-23,0.37,0.04,0.26
2026-05-24,0.05,0.09,0.24
2026-05-25,2.63,2.99,0.79
2026-05-26,3.73,2.21,1.87
2026-05-27,2.44,2.05,1.32
2026-05-28,2.96,2.72,2.18
2026-05-29,2.63,2.24,1.58
2026-05-30,0.69,0.57,0.09
2026-05-31,0.2,0.4,0.07
